source,target,value
Petersburg Nuclear Physics Institute,Goethe University Frankfurt,9.953152108935916
Petersburg Nuclear Physics Institute,Tohoku University,4.196475380299598
Petersburg Nuclear Physics Institute,University of Hamburg,3.863943213187811
Petersburg Nuclear Physics Institute,Dresden University of Technology,3.8447754916055805
Petersburg Nuclear Physics Institute,Osaka University,3.797753775495309
University of Florida,University of Wisconsin-Madison,87.64177811610512
University of Florida,Columbia University,82.53373350308391
University of Florida,Tsinghua University,77.42471485695961
University of Florida,Rutgers University,72.37461469121965
University of Florida,University of Southern California,70.6531123270753
University of Melbourne,University of Cambridge,14.264168008962917
University of Melbourne,University of Massachusetts Amherst,11.85605111784275
University of Melbourne,University of Southern California,11.446531437534984
University of Melbourne,Ohio State University,11.420897757658757
University of Melbourne,Cornell University,11.38988606866858
University of Stuttgart,University of Michigan,56.78865847005225
University of Stuttgart,University of Southern California,49.39317986612382
University of Stuttgart,University of Cambridge,48.86411721916102
University of Stuttgart,Indiana University,48.13879225299995
University of Stuttgart,University of Queensland,47.000592592466646
University of Tennessee,Columbia University,74.19109910939845
University of Tennessee,University of Southern California,71.03773151761952
University of Tennessee,University of Michigan,69.43232588332887
University of Tennessee,Tsinghua University,58.20891509571577
University of Tennessee,Stanford University,57.7382836782888
University of New South Wales,Duke University,80.04628577807651
University of New South Wales,Cornell University,78.40740235395374
University of New South Wales,University of Alberta,70.64918465667175
University of New South Wales,University of Toronto,70.10243477491404
University of New South Wales,Tsinghua University,69.57497598693291
Karlsruhe Institute of Technology,University of Texas at Austin,57.73714896174261
Karlsruhe Institute of Technology,University of Arizona,54.20437689261482
Karlsruhe Institute of Technology,New York University,48.90022794541259
Karlsruhe Institute of Technology,University of Minnesota,48.220205850545305
Karlsruhe Institute of Technology,University of Chicago,47.21090634616087
University of Texas at Austin,New York University,111.60100226366876
University of Texas at Austin,Iowa State University,103.91519373553079
University of Texas at Austin,University of Alberta,94.28402825580447
University of Texas at Austin,Carnegie Mellon University,89.6121672120731
University of Texas at Austin,University of Massachusetts Amherst,85.33529846627896
University of Nottingham,University of Wisconsin-Madison,38.453047528660356
University of Nottingham,University of Pennsylvania,30.560882202514076
University of Nottingham,University of Florida,30.199540410942284
University of Nottingham,University of British Columbia,25.11624949422518
University of Nottingham,Kyushu University,24.5702947753687
University of Tübingen,Kyoto University,43.65288132639674
University of Tübingen,Tohoku University,38.021093228158335
University of Tübingen,McGill University,37.224866328685955
University of Tübingen,Utrecht University,33.30456762085275
University of Tübingen,University of Oxford,33.237525544650204
Martin Luther University of Halle-Wittenberg,Boston University,28.475432199604814
Martin Luther University of Halle-Wittenberg,Sapienza University of Rome,20.804450537593418
Martin Luther University of Halle-Wittenberg,University of Sydney,15.350796926513432
Martin Luther University of Halle-Wittenberg,University of California,15.295606516825442
Martin Luther University of Halle-Wittenberg,University of Florence,15.148696732284698
University of Freiburg,University of Zurich,23.08392660477212
University of Freiburg,Karlsruhe Institute of Technology,21.621601926131877
University of Freiburg,Kyoto University,21.24764721258547
University of Freiburg,University of Pennsylvania,19.75757908828472
University of Freiburg,University of Arizona,19.518911345702417
University of Oxford,University of Michigan,63.39759689226475
University of Oxford,University of Southern California,51.048782557656715
University of Oxford,University of Alberta,50.94569825323482
University of Oxford,University of California,50.064142912120055
University of Oxford,Harvard University,49.91831155267515
University of Florence,University of California,62.46584509395551
University of Florence,Sapienza University of Rome,40.60202222917488
University of Florence,University of Bologna,37.84184515471753
University of Florence,University of Manchester,36.53756169914379
University of Florence,University of Sydney,36.101922129643896
Ludwig Maximilian University of Munich,New York University,60.314869634183026
Ludwig Maximilian University of Munich,Carnegie Mellon University,59.60299343336704
Ludwig Maximilian University of Munich,University of Texas at Austin,58.67073976368734
Ludwig Maximilian University of Munich,University of Alberta,56.39818196036654
Ludwig Maximilian University of Munich,Harvard University,53.755919047199846
Ruhr University Bochum,Carnegie Mellon University,14.562109142982965
Ruhr University Bochum,University of Washington,14.00256018633282
Ruhr University Bochum,University of Massachusetts Amherst,13.836884011570824
Ruhr University Bochum,University of Cambridge,13.43633370863949
Ruhr University Bochum,Georgia Institute of Technology,13.241504577457171
National University of Singapore,Tsinghua University,161.14844872640865
National University of Singapore,University of Southern California,156.7329520629909
National University of Singapore,University of Illinois at Urbana–Champaign,136.67929153036636
National University of Singapore,University of Michigan,103.64343196966259
National University of Singapore,University of Queensland,101.30214747101908
Johns Hopkins University,Tsinghua University,87.042260058545
Johns Hopkins University,Iowa State University,81.73473815454061
Johns Hopkins University,Columbia University,80.55663040854097
Johns Hopkins University,Duke University,79.77779141002459
Johns Hopkins University,University of North Carolina at Chapel Hill,76.73703550916098
National Autonomous University of Mexico,Utrecht University,23.560224940534393
National Autonomous University of Mexico,University of Florida,22.911431182954342
National Autonomous University of Mexico,University of Tübingen,22.47749955751926
National Autonomous University of Mexico,Harvard University,22.088674648216553
National Autonomous University of Mexico,McGill University,21.617299964969696
University of Cambridge,Harvard University,63.78341039829333
University of Cambridge,Yale University,58.07477793509685
University of Cambridge,University of Southern California,57.65107869065432
University of Cambridge,University of Massachusetts Amherst,54.22359667381125
University of Cambridge,University of Michigan,54.05633249287394
Osaka University,Tohoku University,55.96440816063336
Osaka University,Iowa State University,53.33401415328769
Osaka University,Northwestern University,51.81479087124857
Osaka University,Johns Hopkins University,49.93341752526588
Osaka University,University of North Carolina at Chapel Hill,46.46902507336203
Rutgers University,University of Florida,72.37461469121965
Rutgers University,Indiana University,71.45366803927342
Rutgers University,University of Southern California,64.53065106891302
Rutgers University,Tsinghua University,62.530795110507945
Rutgers University,University of Illinois at Urbana–Champaign,62.04732106786691
University of Southampton,North Carolina State University,84.9734410847217
University of Southampton,University of Michigan,63.09648343031213
University of Southampton,Tsinghua University,61.96814832430183
University of Southampton,University of Rochester,59.19385231164561
University of Southampton,Iowa State University,58.270070292757225
Kyushu University,University of Florida,41.76722207931168
Kyushu University,University of Wisconsin-Madison,35.23058839250817
Kyushu University,Rutgers University,29.956666671293736
Kyushu University,Indiana University,28.53948145334401
Kyushu University,University of Pennsylvania,28.46175997953233
Cornell University,University of New South Wales,78.40740235395374
Cornell University,University of Toronto,75.32169583844119
Cornell University,University of Southern California,75.17514172492682
Cornell University,Duke University,70.06533642289206
Cornell University,University of Michigan,61.438655289441726
University of California,Indiana University,80.99075353165841
University of California,University of Michigan,72.6351724996148
University of California,University of Manchester,68.99782019359284
University of California,University of Southern California,68.79245713800549
University of California,Tsinghua University,66.52267040734228
University of Milan,Tel Aviv University,40.684323742405965
University of Milan,Indiana University,39.00545244249378
University of Milan,University of Southern California,37.79478202066338
University of Milan,University of Michigan,37.18242062775239
University of Milan,University of California,35.87465397586963
Iowa State University,Tsinghua University,229.16199155829364
Iowa State University,University of North Carolina at Chapel Hill,201.38012561663774
Iowa State University,University of Alberta,132.89663661492474
Iowa State University,New York University,124.18820593086085
Iowa State University,National Institutes of Health,110.51660109616824
University of Mainz,Tohoku University,28.101083980491563
University of Mainz,Heidelberg University,23.75072457367301
University of Mainz,Kyoto University,22.456599233858707
University of Mainz,Karlsruhe Institute of Technology,21.14216566686534
University of Mainz,University of Arizona,19.647860858670114
Purdue University,University of Illinois at Chicago,51.19921605969584
Purdue University,University of Michigan,47.983511500563175
Purdue University,University of Southern California,45.08380272636715
Purdue University,Tsinghua University,44.89320788173946
Purdue University,University of Illinois at Urbana–Champaign,42.808300311461686
French Institute of Health and Medical Research,University of Florida,13.483348659934643
French Institute of Health and Medical Research,University of Wisconsin-Madison,13.065925022846717
French Institute of Health and Medical Research,Georgia Institute of Technology,12.978692745847574
French Institute of Health and Medical Research,University of Kentucky,12.525254155399862
French Institute of Health and Medical Research,Carnegie Mellon University,12.45039240141303
Complutense University of Madrid,Heidelberg University,31.342184858023018
Complutense University of Madrid,Michigan State University,30.024213897011276
Complutense University of Madrid,University of Arizona,29.978078163307387
Complutense University of Madrid,Karlsruhe Institute of Technology,25.998939874362353
Complutense University of Madrid,Kyoto University,25.507564763066043
McGill University,Northwestern University,69.19314092506303
McGill University,University of North Carolina at Chapel Hill,49.5665854733453
McGill University,University of Texas at Austin,48.168430485273404
McGill University,University of Wisconsin-Madison,47.76884455077168
McGill University,Iowa State University,46.76026143576025
University of Wisconsin-Madison,University of Pennsylvania,115.2277933414596
University of Wisconsin-Madison,University of Florida,87.64177811610512
University of Wisconsin-Madison,University of British Columbia,70.796456339956
University of Wisconsin-Madison,University of Kentucky,68.33478608814909
University of Wisconsin-Madison,University of North Carolina at Chapel Hill,67.65376538257034
Sapienza University of Rome,University of California,47.288567949011245
Sapienza University of Rome,University of Florence,40.60202222917488
Sapienza University of Rome,Boston University,39.454092864132065
Sapienza University of Rome,Princeton University,34.67787839620828
Sapienza University of Rome,University of Sydney,33.9648743663857
Vienna University of Technology,University of Hamburg,32.85676353665681
Vienna University of Technology,Kyoto University,32.13952998604206
Vienna University of Technology,University of Pennsylvania,31.41286835318426
Vienna University of Technology,University of Chicago,30.690197456988425
Vienna University of Technology,Stanford University,28.128986765461462
University of Erlangen-Nuremberg,Indiana University,35.59028370670479
University of Erlangen-Nuremberg,University of Bologna,33.763522500535906
University of Erlangen-Nuremberg,Harvard University,31.62474144847478
University of Erlangen-Nuremberg,University of Michigan,31.579160687781183
University of Erlangen-Nuremberg,University of California,31.435049279820298
University of Manchester,University of Queensland,76.81197215653972
University of Manchester,University of Illinois at Urbana–Champaign,72.86266017250655
University of Manchester,National University of Singapore,72.21502471021407
University of Manchester,University of Sydney,72.19277695689861
University of Manchester,University of Southern California,72.06245321602337
RWTH Aachen University,Karlsruhe Institute of Technology,40.49680149523949
RWTH Aachen University,University of Texas at Austin,37.038085669914175
RWTH Aachen University,New York University,36.0246537847552
RWTH Aachen University,University of Minnesota,34.30447032248297
RWTH Aachen University,Iowa State University,32.8977927919209
University of North Carolina at Chapel Hill,Tsinghua University,223.84372395010877
University of North Carolina at Chapel Hill,Iowa State University,201.38012561663774
University of North Carolina at Chapel Hill,University of Southern California,151.90930373780398
University of North Carolina at Chapel Hill,New York University,138.2067224500022
University of North Carolina at Chapel Hill,University of Alberta,130.85590360363776
University of Pisa,University of Michigan,28.11201633738042
University of Pisa,Rutgers University,26.495221719115946
University of Pisa,Indiana University,25.622665676253753
University of Pisa,University of California,24.624941870068298
University of Pisa,University of Illinois at Chicago,24.024903614037818
Nagoya University,North Carolina State University,29.617290240125612
Nagoya University,University of Stuttgart,28.623904533140234
Nagoya University,University of Southampton,27.49808714236859
Nagoya University,University of Michigan,27.476771091719357
Nagoya University,Yale University,27.340786506892908
University of Padua,University of Queensland,21.88662915654118
University of Padua,Princeton University,18.51805108398523
University of Padua,University of Alberta,18.082015526895226
University of Padua,University of Tokyo,18.04880673828098
University of Padua,University of California,17.65626944890439
University of Southern California,Tsinghua University,229.85076192203945
University of Southern California,University of Michigan,216.4503325734099
University of Southern California,University of Illinois at Urbana–Champaign,167.2353452084364
University of Southern California,National University of Singapore,156.7329520629909
University of Southern California,University of North Carolina at Chapel Hill,151.90930373780398
University of Rochester,University of Southampton,59.19385231164561
University of Rochester,University of Michigan,56.12929720244724
University of Rochester,University of Southern California,56.10795145952265
University of Rochester,University of Sydney,54.1094574421375
University of Rochester,University of Florida,53.42156675096896
Vanderbilt University,Tsinghua University,85.26172183009344
Vanderbilt University,University of Alberta,81.73695010478558
Vanderbilt University,Ohio State University,79.23968055114247
Vanderbilt University,Carnegie Mellon University,77.89094018668254
Vanderbilt University,Iowa State University,75.93201994160553
University of Göttingen,Harvard University,44.73066683576031
University of Göttingen,University of Michigan,43.082259787060714
University of Göttingen,Ohio State University,42.871931652043145
University of Göttingen,Tsinghua University,41.78625692485287
University of Göttingen,Case Western Reserve University,40.97965140901297
Columbia University,University of Illinois at Urbana–Champaign,105.33402208623275
Columbia University,University of Southern California,101.72222428193501
Columbia University,Tsinghua University,99.69854027076556
Columbia University,University of Michigan,86.90562709224706
Columbia University,University of Florida,82.53373350308391
Carnegie Mellon University,Duke University,119.54154031668908
Carnegie Mellon University,New York University,113.11418228919348
Carnegie Mellon University,University of North Carolina at Chapel Hill,107.76548256477012
Carnegie Mellon University,Tsinghua University,102.65225831383407
Carnegie Mellon University,University of Pennsylvania,100.13626840287846
Indiana University,University of California,80.99075353165841
Indiana University,Tsinghua University,76.93471624209116
Indiana University,Rutgers University,71.45366803927342
Indiana University,University of Southern California,68.29562396148654
Indiana University,University of British Columbia,68.2032646807155
University of Arizona,Karlsruhe Institute of Technology,54.20437689261482
University of Arizona,University of Pennsylvania,53.492621209253116
University of Arizona,University of Minnesota,51.26663578212704
University of Arizona,Heidelberg University,51.16744141566811
University of Arizona,Iowa State University,47.2077957980343
Georgia Institute of Technology,Columbia University,72.13314996677539
Georgia Institute of Technology,Carnegie Mellon University,71.37241419545191
Georgia Institute of Technology,University of Washington,66.01246475593429
Georgia Institute of Technology,Tsinghua University,64.60285713714374
Georgia Institute of Technology,Indiana University,64.11337369262954
National Institutes of Health,Tsinghua University,129.207422108153
National Institutes of Health,University of North Carolina at Chapel Hill,113.94399864584247
National Institutes of Health,Iowa State University,110.51660109616824
National Institutes of Health,University of Illinois at Urbana–Champaign,93.70142290445138
National Institutes of Health,Duke University,92.88710911203526
University of Miami,University of Southern California,46.28890385790877
University of Miami,Princeton University,45.52942071956091
University of Miami,University of Michigan,44.91410209951908
University of Miami,Yale University,43.739357888477635
University of Miami,University of Queensland,42.1072527365375
University of Zurich,Heidelberg University,42.83396517988725
University of Zurich,Karlsruhe Institute of Technology,40.87818233429432
University of Zurich,University of Chicago,39.85944051622411
University of Zurich,University of Arizona,36.919099528584496
University of Zurich,University of Hamburg,33.754045446454846
University of Colorado Boulder,University of Manchester,31.85771121620481
University of Colorado Boulder,Harvard University,29.46743970145124
University of Colorado Boulder,University of Queensland,29.385825207876195
University of Colorado Boulder,Cornell University,28.14792331647686
University of Colorado Boulder,University of Alberta,28.0270401271735
University of Cologne,Boston University,16.982934400551937
University of Cologne,University of Florence,13.149621568111542
University of Cologne,Sapienza University of Rome,13.019472245019758
University of Cologne,Martin Luther University of Halle-Wittenberg,12.239984830779479
University of Cologne,Dresden University of Technology,12.224950164151908
Kyoto University,Tohoku University,55.564110337459034
Kyoto University,University of Texas at Austin,54.776102650397696
Kyoto University,University of Pennsylvania,54.07158256491701
Kyoto University,Harvard University,53.16835674984481
Kyoto University,University of Alberta,51.07541007861087
Tohoku University,Osaka University,55.96440816063336
Tohoku University,Kyoto University,55.564110337459034
